@relation beansData

@attribute LENGTH REAL
@attribute BREADTH REAL
@attribute WIDTH REAL
@attribute NAME {BIG_DRUM,SMALL_DRUM,oloyin_beans,MILK_BEANS}

@data
9.67,6.91,6.74,BIG_DRUM
10.19,7.31,6.82,BIG_DRUM
10.79,7.23,7.37,BIG_DRUM
9.47,7.28,7.05,BIG_DRUM
9.19,7.09,6.81,BIG_DRUM
9.20,8.2,7.93,BIG_DRUM
9.79,7.22,6.93,BIG_DRUM
9.85,7.5,7.32,BIG_DRUM
11.27,7.42,7.14,BIG_DRUM
10.26,7.03,7.18,BIG_DRUM
8.68,6.72,6.56,BIG_DRUM
9.08,6.84,6.77,BIG_DRUM
9.03,7.44,7.26,BIG_DRUM
9.82,6.9,6.83,BIG_DRUM
9.19,6.6,6.34,BIG_DRUM
10.51,7.49,7.39,BIG_DRUM
9.22,7.1,6.79,BIG_DRUM
9.41,6.97,6.79,BIG_DRUM
8.13,6.2,5.66,BIG_DRUM
9.44,7.54,7.39,BIG_DRUM
10.30,6.8,7.88,BIG_DRUM
12.01,7.76,7.16,BIG_DRUM
8.96,8.21,7.10,BIG_DRUM
9.10,6.99,6.52,BIG_DRUM
8.22,7.37,7.01,BIG_DRUM
10.48,7.4,6.92,BIG_DRUM
9.38,6.77,5.99,BIG_DRUM
9.17,6.37,5.19,BIG_DRUM
9.58,7,5.91,BIG_DRUM
9.31,7.15,7.10,BIG_DRUM
8.97,6.84,6.36,BIG_DRUM
9.29,7.66,7.38,BIG_DRUM
9.04,6.67,6.43,BIG_DRUM
10.67,7.37,6.44,BIG_DRUM
10.00,7.14,6.75,BIG_DRUM
10.08,7.48,6.93,BIG_DRUM
9.67,7.04,6.89,BIG_DRUM
9.89,7.51,6.63,BIG_DRUM
9.84,6.73,5.89,BIG_DRUM
8.22,6.98,6.78,BIG_DRUM
10.56,7.35,6.88,BIG_DRUM
9.95,7.77,7.49,BIG_DRUM
8.69,6.92,6.76,BIG_DRUM
9.75,6.51,6.45,BIG_DRUM
9.10,6.95,6.45,BIG_DRUM
8.36,7.02,6.94,BIG_DRUM
10.14,6.44,5.88,BIG_DRUM
8.28,6.62,6.17,BIG_DRUM
9.56,7.26,7.12,BIG_DRUM
8.89,7.62,4.66,BIG_DRUM
9.36,7.18,7.00,BIG_DRUM
9.42,6.88,6.41,BIG_DRUM
9.87,7.54,7.50,BIG_DRUM
9.15,6.49,6.37,BIG_DRUM
11.06,8.13,7.91,BIG_DRUM
10.20,7.25,6.99,BIG_DRUM
10.54,7.07,6.91,BIG_DRUM
11.02,8.04,7.73,BIG_DRUM
10.03,7.82,7.19,BIG_DRUM
9.66,7.81,6.15,BIG_DRUM
9.90,7.55,7.25,BIG_DRUM
9.57,7.67,7.60,BIG_DRUM
10.27,6.79,6.64,BIG_DRUM
8.86,7.27,7.17,BIG_DRUM
9.28,7.06,6.89,BIG_DRUM
10.45,7.67,7.56,BIG_DRUM
8.69,7.02,6.98,BIG_DRUM
9.09,6.74,6.71,BIG_DRUM
8.99,7.14,6.99,BIG_DRUM
